prolificId	participantIndex	sessionKey	sessionId	mode	startedAt	completedAt	terminatedReason	lastAutosaveAt	autosaveSeq	serverLastSavedAt	serverLastSaveOk	serverLastSaveError	flow_order	flow_source	flow_enable_math	instrument	score_type	name	value	detail
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_sum	Sociability		{"factor":"Extraversion","nItems":4,"items":[{"num":16,"id":"hexaco_016","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":40,"id":"hexaco_040","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":64,"id":"hexaco_064","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":88,"id":"hexaco_088","reverseKeyed":false,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_mean	Sociability		{"factor":"Extraversion","sum":null,"nItems":4,"items":[{"num":16,"id":"hexaco_016","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":40,"id":"hexaco_040","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":64,"id":"hexaco_064","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":88,"id":"hexaco_088","reverseKeyed":false,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_sum	Liveliness		{"factor":"Extraversion","nItems":4,"items":[{"num":22,"id":"hexaco_022","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":46,"id":"hexaco_046","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":70,"id":"hexaco_070","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":94,"id":"hexaco_094","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_mean	Liveliness		{"factor":"Extraversion","sum":null,"nItems":4,"items":[{"num":22,"id":"hexaco_022","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":46,"id":"hexaco_046","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":70,"id":"hexaco_070","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":94,"id":"hexaco_094","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_sum	Forgiveness		{"factor":"Agreeableness","nItems":4,"items":[{"num":3,"id":"hexaco_003","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":27,"id":"hexaco_027","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":51,"id":"hexaco_051","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":75,"id":"hexaco_075","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_mean	Forgiveness		{"factor":"Agreeableness","sum":null,"nItems":4,"items":[{"num":3,"id":"hexaco_003","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":27,"id":"hexaco_027","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":51,"id":"hexaco_051","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":75,"id":"hexaco_075","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_sum	Gentleness		{"factor":"Agreeableness","nItems":4,"items":[{"num":9,"id":"hexaco_009","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":33,"id":"hexaco_033","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":57,"id":"hexaco_057","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":81,"id":"hexaco_081","reverseKeyed":false,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_mean	Gentleness		{"factor":"Agreeableness","sum":null,"nItems":4,"items":[{"num":9,"id":"hexaco_009","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":33,"id":"hexaco_033","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":57,"id":"hexaco_057","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":81,"id":"hexaco_081","reverseKeyed":false,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_sum	Flexibility		{"factor":"Agreeableness","nItems":4,"items":[{"num":15,"id":"hexaco_015","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":39,"id":"hexaco_039","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":63,"id":"hexaco_063","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":87,"id":"hexaco_087","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
	2	8e8a8d6d-f224-2095-83d4-53412e0be0e6__trial	8e8a8d6d-f224-2095-83d4-53412e0be0e6	trial	2026-01-30T07:10:26.237Z			2026-02-04T04:48:37.932Z	3				mfq30,hexaco100,svo,ipip120,d70	default	true	hexaco100	facet_mean	Flexibility		{"factor":"Agreeableness","sum":null,"nItems":4,"items":[{"num":15,"id":"hexaco_015","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":39,"id":"hexaco_039","reverseKeyed":false,"rawValue":null,"scoredValue":null},{"num":63,"id":"hexaco_063","reverseKeyed":true,"rawValue":null,"scoredValue":null},{"num":87,"id":"hexaco_087","reverseKeyed":true,"rawValue":null,"scoredValue":null}]}
